Specified Values,Specified Attribute Names,eventStatus,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
"2, 0, 0, 0","N3, N13, N95, M0P6","71.19772643100195,87.1675",0.16663788239840166,0.2088507360045026,1,331.45561590089494,49522,39557,0.04,0.0010003356275356094,83,351,True
"0, 2, 0, 0, 1","N7, N76, N84, N88, M0P6","79.07,87.1675",0.11743477066890973,0.20967282120506783,1,310.2559151088543,49929,39710,0.05,0.0009363547656101504,53,348,True
"0, 1, 2","N0, N9, M0P5","71.28057153281134,87.1675",0.8953751563992937,0.5582274093619302,2,325.1653539747825,49950,39816,0.03,0.0019627031362078927,286,757,True
"0, 0, 0, 0, 0","N0, N5, N95, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.8520106922423456,1,382.9928516457906,49998,39857,0.05,0.0011558754059768218,435,742,True
"1, 1, 0","N20, N22, N51","79.07,87.1675",0.16271958736360245,0.253809037236328,1,318.65081454614915,49988,39870,0.03,0.0009616906374247814,328,1929,True
"0, 1, 0, 0, 0","N21, N70, N86, M0P5, M0P6","71.19772643100195,87.1675",0.6329127827137551,0.7565011941330447,1,392.07382726386595,49944,39960,0.05,0.0011832818610427668,122,243,True
"1, 0, 2","N20, N47, M0P5","79.07,87.1675",1.0,0.817827985122172,3,331.81761185033855,49945,39967,0.03,0.003004284402382148,105,215,True
"1, 1, 2","N55, N81, M0P6","76.27000392788355,86.09619367955565",0.4205158772917496,0.6452266084891519,2,323.35818839246576,49920,40025,0.03,0.0019517950566332923,78,214,True
"0, 1, 2","N17, N81, M0P6","76.27000392788355,86.09619367955565",0.3443069251120225,0.4431013071286715,2,321.95858611859785,49920,40025,0.03,0.0019433470355302283,79,294,True
0,N54,"0.9024999999999999,20.239046285116878",1.0,0.8782969851522004,1,301.0209375711023,49983,40034,0.01,0.0009379249048462445,6786,10348,True
"1, 1, 1, 2","N20, N29, N87, M0P5","79.07,87.1675",1.0,0.8202462412055174,1,346.44289995478226,49799,40046,0.04,0.0010455673674123068,39,80,True
"1, 0","N6, N16","0,31.0975",1.0,0.8676523856390126,1,310.1277310305201,49951,40077,0.02,0.0009359679050644572,2987,4124,True
0,N70,"0,42.02724348807771",1.0,0.8334605827620927,1,284.4653216216654,49983,40197,0.01,0.0008585185538132838,4312,5475,True
"0, 1, 1, 0","N7, N14, N18, M0P6","71.19772643100195,87.1675",0.6117347457896531,0.6634590158392621,1,346.69656039955163,49944,40232,0.04,0.0010463329166081159,221,517,True
0,N65,"0,48.725145513595585",1.0,0.8029825403417404,6,311.06950318431046,49983,40298,0.01,0.005854999298071243,8206,9855,True
"0, 0, 2, 0, 0, 0, 0","N0, N11, N19, N89, N95, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.9766456291178803,1,416.81815373368835,49944,40314,0.07,0.0012579604308411943,79,92,True
0,N12,"81.90180536330581,87.1675",0.4481278954614717,0.2649590030244847,1,309.5655657700641,49998,40320,0.01,0.0009701595978240464,950,6401,True
1,M0P5,"0.9024999999999999,63.1175",1.0,0.8055509032228132,2,281.86957402750835,49983,40322,0.01,0.0017313523992588712,4924,5080,True
"0, 1, 1, 1, 0","N28, N38, N45, N49, N97","0,62.6725",0.40964457959168443,0.6933857945845819,1,305.5075831287466,49981,40381,0.05,0.0009220242627518471,105,105,True
"2, 2","M0P5, M0P6","81.90180536330581,99.0",1.0,0.9411252299845377,9,327.9136760452424,49988,40388,0.02,0.008906814229452505,154,208,True
"0, 0, 0","N89, M0P5, M0P6","71.19772643100195,87.1675",0.9615756722112936,0.7160583622703992,1,368.5033405611313,49998,40401,0.03,0.0011121459487939615,337,714,True
0,N65,"0,31.0975",1.0,0.8795635853965623,6,311.06950318431046,49983,40458,0.01,0.005854999298071243,7194,9708,True
"0, 0, 1","N12, N16, N80","81.90180536330581,87.1675",0.5848526097639326,0.35827830566335467,2,286.65747217086334,49837,40460,0.03,0.00173026896245168,422,2265,True
"0, 0, 0, 0","N85, N95, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.8290121601298602,1,381.28171571738847,49998,40486,0.04,0.001150711184432153,322,566,True
"0, 0","N61, N65","0.9024999999999999,50.1875",1.0,0.8136754829744643,1,323.3352817751737,49983,40554,0.02,0.0009758283959674438,7477,8785,True
"1, 0","N75, M0P5","71.19772643100195,87.1675",0.4046498610338744,0.313633802255607,2,302.71005340963245,49944,40555,0.02,0.0018271625925891872,499,1860,True
1,M0P5,"-7.63951760069841,42.88652033416547",1.0,0.9376794944081012,2,281.86957402750835,49983,40562,0.01,0.0017313523992588712,4457,4953,True
"1, 1, 0, 2","N20, N22, N51, M0P5","79.07,87.1675",0.7750285636940895,0.7973754494266657,1,339.552790011559,49988,40585,0.04,0.001024772961998146,150,320,True
1,N80,"81.90180536330581,87.1675",0.4548542166653205,0.2744849264008832,4,289.9912700600607,49934,40637,0.01,0.0035852615075856304,616,4055,True
1,N56,"0,50.1875",1.0,0.8178042661042452,1,297.42552423552036,49983,40673,0.01,0.0008976325461331352,3735,4344,True
"0, 0","N81, N95","0.9024999999999999,36.5625",1.0,0.8814351282690959,1,302.7630467328184,49934,40715,0.02,0.0009137412305562603,4221,5367,True
"0, 2","N7, M0P5","81.90180536330581,87.1675",0.8834143378733712,0.526126933612591,1,339.13088397330614,49988,40846,0.02,0.0010234996462922417,282,1047,True
"2, 0, 2, 0, 2","N25, N28, N59, N66, M0P5","81.90180536330581,87.1675",1.0,0.8366129693057425,1,311.8493618871786,49646,40846,0.05,0.0009411638003842548,12,24,True
"0, 0, 0, 0","N27, N95, M0P5, M0P6","71.19772643100195,87.1675",0.9976071365720697,0.7926109796832418,1,378.24565674044817,49998,40856,0.04,0.0011415483348190068,395,748,True
1,N69,"0,36.5625",1.0,0.8546351357457204,1,300.54930654100326,49983,40908,0.01,0.0009361456721985449,3736,4916,True
"1, 0, 0, 2, 1","N9, N90, N93, M0P5, M0P6","81.90180536330581,87.1675",1.0,0.875612018243633,1,352.81476737796737,49929,40925,0.05,0.001064797712869031,62,113,True
0,N4,"0,36.5625",1.0,0.8678145556572007,1,301.74571398063347,49983,40961,0.01,0.0009406591308997114,7472,9681,True
"2, 0, 0","N43, M0P5, M0P6","71.19772643100195,87.1675",0.49397554542968003,0.7556478228691257,1,398.1721324672325,49998,41032,0.03,0.0012016865935917465,73,146,True
2,M0P5,"79.07,89.0775",0.8569661020686401,0.44888981549303275,2,325.2810725099057,49988,41037,0.01,0.001963401615086492,415,1543,True
"1, 1, 0, 2","N20, N22, N51, M0P5","70.8325,87.1675",0.6104200824234751,0.7161097794695247,1,339.552790011559,49988,41037,0.04,0.001024772961998146,145,305,True
"1, 1, 1, 0","N8, N9, N17, M0P5","63.95139104944798,88.5625",0.4150809266077512,0.5716925350134973,1,338.8298514293057,49971,41124,0.04,0.0010225911277323952,85,182,True
0,N87,"0,42.26335021829383",1.0,0.8499254984782801,2,292.3640603746644,49983,41167,0.01,0.0018105335028676657,4936,6131,True
"1, 1","N57, M0P5","0.623170115871641,50.1875",1.0,0.9246794903025229,1,282.0460405164849,49967,41167,0.02,0.0008663419211752508,1972,2096,True
"0, 0, 0, 0","N21, N86, M0P5, M0P6","71.19772643100195,87.1675",0.9852958832646764,0.7670024879948913,2,379.258008547606,49971,41171,0.04,0.0022892072408983465,324,638,True
